ID;longitude;latitude;housing_median_age;mean_rooms;mean_bedrooms;population;households;median_income;median_house_value;ocean_proximity
93;*;37;25~32;3.493377483;1.149006623;718;302;0.0000~3.5347;136000~196999;0
94;*;37;33~40;3.672376874;1.334047109;1327;467;*;136000~196999;0
95;*;37;33~40;2.294016358;1.066293586;3469;2323;*;14000~135999;0
96;*;37;25~32;3.894915254;1.127966102;2048;1180;0.0000~3.5347;136000~196999;0
97;*;37;25~32;3.681318681;1.175824176;202;91;*;14000~135999;0
98;*;37;17~24;2.9456;1016;2024;1250;0.0000~3.5347;136000~196999;0
99;*;37;33~40;3.707142857;1.107142857;1838;980;*;136000~196999;0
100;*;37;25~32;3.7248;1.1312;2304;1250;*;197000~257999;0
101;-122;37;25~32;3.878423514;1.070808283;2563;1497;*;258000~379999;0
102;*;37;33~40;3.745614035;1.061403509;389;228;*;197000~257999;0
103;*;37;49~56;3.515497553;1.143556281;895;613;*;319000~379999;0
104;*;37;33~40;3.281721632;1.069871437;2689;1789;*;319000~379999;0
105;*;37;49~56;6.18442623;0.922131148;674;244;*;258000~318999;0
106;*;37;49~56;4.442982456;1.057017544;709;456;*;258000~318999;0
107;*;37;49~56;4.165876777;1.090047393;686;422;*;258000~318999;0
108;*;37;49~56;4.848189415;1.045961003;1444;718;*;258000~318999;0
109;*;37;25~32;4.16084788;1.066084788;1520;802;*;197000~257999;0
110;*;37;49~56;5.628458498;1.14229249;550;253;*;258000~318999;0
111;*;37;25~32;3.727005871;1.074363992;1806;1022;*;197000~257999;0
112;*;37;25~32;3.253081348;0.982744454;1749;1217;*;197000~257999;0
113;*;37;49~56;4.578034682;1.077071291;939;519;*;197000~257999;0
114;*;37;33~40;3.822274882;1.014218009;675;422;*;197000~257999;0
115;*;37;49~56;4.395189003;0.986254296;534;291;*;197000~257999;0
116;*;37;25~32;3.023479831;1.053582179;2558;1661;*;197000~257999;0
117;*;37;49~56;4.040501446;1.06557377;1786;1037;*;197000~257999;0
118;*;37;49~56;6.742627346;1.069705094;970;373;*;319000~379999;0
119;*;37;41~48;6.546391753;0.936082474;1098;485;*;258000~379999;0
120;*;37;41~48;6.85106383;1.079787234;794;376;*;258000~379999;0
121;*;37;33~40;7.106382979;1.14893617;98;47;*;319000~379999;0
122;*;37;49~56;6.947890819;1.019851117;1061;403;*;319000~379999;0
123;*;37;49~56;6.358558559;1.034234234;1177;555;*;380000~501999;0
124;*;37;49~56;7.117166213;0.994550409;901;367;*;380000~501999;0
125;-122;37;25~32;5.530334728;1.09623431;2031;956;*;258000~379999;0
126;*;37;49~56;6.127348643;0.987473904;1031;479;*;258000~318999;0
127;*;37;41~48;5.735343384;1;1358;597;*;258000~379999;0
128;*;37;33~48;7.631498471;1.03058104;1616;654;*;380000~440999;0
129;-122;37;25~32;6.44606414;1.008746356;844;343;*;258000~379999;0
130;*;37;33~40;6125;0.987903226;1140;496;*;319000~379999;0
131;*;37;17~24;8.335051546;1.082474227;533;194;*;380000~501999;0
132;*;37;33~40;6.467268623;1.038374718;1072;443;*;319000~379999;0
133;*;37;33~40;6.61227154;1.028720627;1627;766;*;319000~379999;0
134;-122;37;25~32;6.978947368;0.968421053;463;190;*;258000~379999;0
135;-122;37;25~32;7.530805687;1.056872038;542;211;*;258000~379999;0
136;-122;37;25~32;6.657992565;1.007434944;661;269;*;258000~379999;0
137;-122;37;25~32;6.977186312;1.003802281;635;263;*;258000~379999;0
138;*;37;33~40;6.982954545;1.028409091;420;176;*;319000~379999;0
139;*;37;33~40;7.54;1068;1265;500;*;319000~379999;0
140;*;37;25~32;5.615384615;0.730769231;126;52;*;380000~501999;0
141;*;37;49~56;6.785714286;0.951428571;813;350;*;319000~379999;0
142;*;37;41~48;6.957746479;1.023474178;1067;426;*;258000~379999;0
143;*;37;49~56;5.132246377;1.096014493;1260;552;*;197000~257999;0
144;*;37;33~40;4.628336756;1.098562628;951;487;*;197000~257999;0
145;*;37;49~56;6.200892857;0.946428571;510;224;*;258000~318999;0
146;*;37;49~56;6.399350649;1.087662338;765;308;*;258000~318999;0
147;*;37;49~56;4.745652174;1.010869565;1129;460;*;197000~257999;0
148;*;37;49~56;5.183673469;1.052154195;1073;441;*;197000~257999;0
149;*;37;49~56;5.283495146;1.050485437;1185;515;*;197000~257999;0
150;*;37;49~56;5.952941176;0.997058824;756;340;*;258000~318999;0
151;*;37;49~56;5.650671785;1.028790787;1034;521;*;258000~318999;0
152;*;37;49~56;4.4291939;1.058823529;787;459;*;258000~318999;0
153;*;37;49~56;6.727699531;1.075117371;612;213;*;258000~318999;0
154;*;37;49~56;7.702631579;1.057894737;1021;380;*;380000~501999;0
155;*;37;49~56;8.972868217;1.131782946;861;258;*;380000~501999;0
156;*;37;49~56;7.599388379;0.957186544;953;327;*;319000~379999;0
157;*;37;49~56;5.8203125;0.9296875;634;256;*;258000~318999;0
158;*;37;49~56;7.994318182;1.036931818;878;352;*;319000~379999;0
159;*;37;49~56;4.333333333;1.138716356;918;483;*;197000~257999;0
160;*;37;49~56;5.074285714;0.96;360;175;*;197000~257999;0
161;*;37;49~56;4.276639344;1.045081967;1197;488;*;197000~257999;0
162;*;37;49~56;4.851351351;0.969111969;1048;518;*;258000~318999;0
163;*;37;41~48;4.326639893;1.117804552;1373;747;*;197000~257999;0
164;*;37;41~48;4.0591133;1.049261084;1715;1015;*;197000~257999;0
165;*;37;41~48;3.274238227;1.096952909;1359;722;*;197000~257999;0
166;*;37;41~48;3.561743341;1.13559322;1062;413;*;136000~196999;0
167;*;37;25~32;3.192755498;1.117723157;1335;773;0.0000~3.5347;136000~196999;0
168;*;37;25~32;3.804195804;1.146853147;1171;429;*;14000~135999;0
169;*;37;41~48;3.882608696;1.143478261;1475;460;*;14000~135999;0
170;*;37;49~56;3.209183673;0.959183673;742;196;*;14000~135999;0
171;*;37;49~56;3.688705234;1.077134986;1086;363;*;136000~196999;0
172;*;37;33~40;3.090239411;1.116022099;1645;543;*;14000~135999;0
173;*;37;41~48;3.639751553;1.004658385;1710;644;*;136000~196999;0
174;*;37;49~56;4.368421053;1;731;228;*;14000~135999;0
175;*;37;49~56;4.585014409;1.074927954;1118;347;*;14000~135999;0
176;*;37;49~56;4.734328358;1.188059701;1006;335;*;136000~196999;0
177;*;37;41~48;3.693140794;1.061371841;1213;554;*;136000~196999;0
178;*;37;49~56;4.638132296;1.124513619;772;257;*;136000~196999;0
179;*;37;49~56;4.496259352;1.047381546;1321;401;*;14000~135999;0
180;*;37;49~56;4.192023634;1.106351551;1487;677;*;136000~196999;0
181;*;37;49~56;4.209677419;0.989247312;488;186;*;14000~135999;0
182;*;37;49~56;4.056122449;1.056122449;949;392;*;14000~135999;0
183;*;37;49~56;4.207228916;1.156626506;1149;415;*;14000~135999;0
184;*;37;49~56;4.471428571;1.067857143;844;280;*;14000~135999;0
185;*;37;41~48;4.844029245;1.091795288;4367;1231;*;14000~135999;0
186;*;37;49~56;4.327669903;0.958737864;1659;412;*;14000~135999;0
187;*;37;25~32;3.798479087;1.003802281;1011;263;0.0000~3.5347;136000~196999;0
188;*;37;33~40;3.776349614;1.107969152;1464;389;*;14000~135999;0
189;*;37;41~48;4.528052805;1.303630363;1237;303;*;14000~135999;0
190;*;37;49~56;4.011904762;1.071428571;647;168;*;14000~135999;0
191;*;37;41~48;4.554621849;1.053221289;1284;357;*;14000~135999;0
192;*;37;49~56;3.181818182;0.781818182;228;55;*;14000~135999;0
193;*;37;33~40;3.74796748;1.048780488;381;123;*;14000~135999;0
194;*;37;49~56;3.973568282;1.044052863;846;227;*;14000~135999;0
195;*;37;17~24;3.51035503;1.152366864;1659;676;*;14000~135999;0
196;*;37;49~56;2.833333333;0.927536232;520;138;*;14000~135999;0
197;*;37;49~56;4.38996139;1.162162162;866;259;*;14000~135999;0
198;*;37;49~56;4.202185792;1.12568306;612;183;*;14000~135999;0
199;*;37;49~56;3.746031746;1.158730159;415;126;*;14000~135999;0
200;*;37;49~56;4.046948357;1.009389671;994;213;*;14000~135999;0
201;*;37;49~56;4.025157233;1.111111111;1525;477;*;14000~135999;0
202;*;37;41~48;3.242009132;1.077625571;1506;438;*;14000~135999;0
203;*;37;49~56;3.866666667;1.011764706;1008;255;*;14000~135999;0
204;*;37;41~48;3.115845539;1.098535286;2813;751;*;14000~135999;0
205;*;37;41~48;4.944606414;1.15451895;1481;343;*;14000~135999;0
206;*;37;49~56;5.365296804;0.99086758;859;219;*;14000~135999;0
207;*;37;33~40;4.479923518;1.09751434;1608;523;*;14000~135999;0
208;*;37;25~32;4.357142857;1.035714286;425;140;*;14000~135999;0
209;*;37;33~40;5.054347826;1.081521739;564;184;*;14000~135999;0
210;*;37;41~48;5.466911765;1.154411765;961;272;*;14000~135999;0
211;*;37;49~56;4.998540146;1.00729927;2273;685;*;136000~196999;0
212;*;37;49~56;3.907692308;0.974358974;600;195;*;14000~135999;0
213;*;37;41~48;4.489563567;1.091081594;1647;527;*;14000~135999;0
214;*;37;49~56;4.306603774;1.061320755;1201;424;*;136000~196999;0
215;*;37;33~40;4.626707132;1.078907436;2167;659;*;136000~196999;0
216;*;37;25~32;4.823529412;1.105882353;939;340;0.0000~3.5347;136000~196999;0
217;*;37;41~48;5.284246575;1.051369863;859;292;*;136000~196999;0
218;*;37;33~40;4.581395349;1.079457364;1517;516;*;136000~196999;0
219;*;37;33~40;4.520725389;1.059585492;1143;386;*;136000~196999;0
220;*;37;33~40;4.316810345;1.077586207;1109;464;*;136000~196999;0
221;*;37;33~40;4.524663677;1.002242152;1221;446;*;136000~196999;0
222;*;37;41~48;6.692307692;1.096703297;1115;455;*;258000~379999;0
223;*;37;49~56;5.77238806;1.093283582;706;268;*;197000~257999;0
224;*;37;49~56;4.984419263;1.007082153;1883;706;*;136000~196999;0
225;*;37;41~48;6.088235294;1.041176471;804;340;*;197000~257999;0
226;*;37;41~48;5.242063492;1.043650794;506;252;*;197000~257999;0
227;*;37;41~48;7.117647059;1.088235294;610;238;*;197000~257999;0
228;*;37;41~48;5.837349398;1.027108434;768;332;*;197000~257999;0
229;*;37;49~56;5.260869565;1.059782609;462;184;*;136000~196999;0
230;*;37;33~40;4.510638298;1.089361702;667;235;*;136000~196999;0
231;*;37;41~48;5.115288221;1.015037594;1059;399;*;197000~257999;0
232;*;37;49~56;6.545126354;0.97833935;637;277;*;258000~318999;0
233;*;37;41~48;5.986784141;0.99339207;1106;454;*;197000~257999;0
234;*;37;25~32;4.69955157;1.137518685;1737;669;0.0000~3.5347;136000~196999;0
235;*;37;33~40;4.620512821;1.176923077;1009;390;*;14000~135999;0
236;*;37;49~56;4.2;0.928571429;737;210;*;14000~135999;0
237;*;37;41~48;3.301425662;0.920570265;1354;491;*;14000~135999;0
238;*;37;41~48;4.462025316;1.124472574;1530;474;*;136000~196999;0
239;*;37;41~48;4.210416667;1.1;1410;480;*;14000~135999;0
240;*;37;41~48;3.934973638;0.892794376;1390;569;*;136000~196999;0
241;*;37;49~56;5.49070632;1.115241636;1065;269;*;136000~196999;0
242;*;37;49~56;4.310204082;0.914285714;792;245;*;136000~196999;0
243;*;37;49~56;3.665306122;0.995918367;779;245;*;136000~196999;0
244;*;37;41~48;4.86557377;1.163934426;2269;610;*;14000~135999;0
245;*;37;41~48;4.181818182;1.13022113;1227;407;*;14000~135999;0
246;*;37;41~48;3.65560166;1.029045643;753;241;*;14000~135999;0
247;*;37;33~40;3.659259259;0.844444444;547;135;*;14000~135999;0
248;*;37;49~56;4.036363636;1075;1807;440;*;14000~135999;0
249;*;37;41~48;3.38989899;1.038383838;1700;495;*;14000~135999;0
250;*;37;49~56;4.165394402;1.178117048;1543;393;*;14000~135999;0
251;*;37;49~56;4.733333333;1.046666667;1085;300;*;14000~135999;0
252;*;37;49~56;4.313868613;1.262773723;353;137;*;14000~135999;0
253;*;37;49~56;5;1.026845638;473;149;*;14000~135999;0
254;*;37;49~56;4.703933747;1.031055901;1621;483;*;14000~135999;0
255;*;37;41~48;3.485875706;1.059322034;1183;354;*;14000~135999;0
256;*;37;41~48;3.671480144;1.184115523;836;277;*;14000~135999;0
257;*;37;41~48;3.543726236;0.965779468;900;263;*;14000~135999;0
258;*;37;33~40;5.00744879;1.111731844;1888;537;*;14000~135999;0
259;*;37;41~48;4.536656891;1.217008798;1024;341;*;14000~135999;0
260;*;37;49~56;5.437352246;1.047281324;1225;423;*;136000~196999;0
261;*;37;33~40;4.659574468;1.061170213;1071;376;*;14000~135999;0
262;*;37;49~56;4.939153439;1.066137566;1128;378;*;14000~135999;0
263;*;37;41~48;5.020661157;1.037190083;1537;484;*;14000~135999;0
264;*;37;41~48;4.399491094;1.053435115;1240;393;*;14000~135999;0
265;*;37;49~56;6.107142857;1.071428571;469;168;*;136000~196999;0
266;*;37;49~56;5.105882353;1.007058824;1086;425;*;136000~196999;0
267;*;37;49~56;5.585131894;1.067146283;1144;417;*;136000~196999;0
268;*;37;49~56;6.645333333;1.106666667;1109;375;*;136000~196999;0
269;*;37;49~56;5.956639566;1.075880759;984;369;*;136000~196999;0
270;*;37;33~40;3.021276596;0.659574468;575;47;*;197000~257999;0
271;*;37;49~56;5.660287081;0.980861244;496;209;*;136000~196999;0
272;*;37;49~56;5.631578947;1.015789474;555;190;*;136000~196999;0
273;*;37;41~48;5.400611621;1.01529052;869;327;*;136000~196999;0
274;*;37;33~40;5.820754717;0.896226415;236;106;*;197000~257999;0
275;*;37;41~48;6.593457944;1.088785047;626;214;*;197000~257999;0
276;*;37;41~48;6.410334347;1.176291793;922;329;*;197000~257999;0
277;*;37;41~48;4.80078125;0.94921875;582;256;*;197000~257999;0
278;*;37;49~56;4.746268657;1.07960199;546;201;*;136000~196999;0
279;*;37;33~40;6.176691729;0.984962406;620;266;*;319000~379999;0
280;*;37;33~40;6.948717949;1;442;195;*;258000~318999;0
281;*;37;17~24;7.06402439;1.024390244;955;328;*;258000~318999;0
282;*;37;17~24;7.589506173;0.978395062;916;324;*;258000~318999;0
283;*;37;17~24;6.528723945;1.041179461;4985;1967;*;319000~379999;0
284;*;37;41~48;5.707865169;0.973782772;651;267;*;136000~196999;0
285;*;37;25~32;4.731152205;1.06116643;1704;703;*;14000~135999;0
286;*;37;41~48;4.877149877;1.081081081;1085;407;*;136000~196999;0
287;*;37;49~56;5.781690141;1.133802817;713;284;*;136000~196999;0
288;*;37;49~56;4.933701657;0.977900552;468;181;*;136000~196999;0
289;*;37;49~56;5.396694215;1.05785124;296;121;*;136000~196999;0
290;*;37;41~48;5.76146789;1.995412844;570;218;*;136000~196999;0
291;*;37;41~48;5.427777778;1.077777778;446;180;*;136000~196999;0
292;*;37;41~48;6.052083333;1.033854167;968;384;*;136000~196999;0
293;*;37;33~40;5.009493671;1.10443038;857;316;*;136000~196999;0
294;*;37;33~40;5.00621118;1.062111801;912;322;*;136000~196999;0
295;*;37;25~32;5.362831858;1.17920354;1360;452;*;14000~135999;0
296;*;37;41~48;4.490140845;1.033802817;1074;355;*;14000~135999;0
297;*;37;41~48;5.544502618;1.081151832;965;382;*;14000~135999;0
298;*;37;33~40;4.921875;1.11875;933;320;*;14000~135999;0
299;*;37;33~40;4.983050847;1.121468927;987;354;*;14000~135999;0
300;*;37;49~56;4.825203252;1.06097561;907;246;*;14000~135999;0
301;*;37;49~56;4.56969697;1.060606061;447;165;*;14000~135999;0
302;*;37;49~56;5.11751663;1.002217295;1299;451;*;14000~135999;0
303;*;37;25~32;5.789808917;1.503184713;396;157;*;14000~135999;0
304;*;37;41~48;4.402985075;0.958955224;877;268;*;14000~135999;0
305;*;37;41~48;5.498637602;1.111716621;1111;367;*;14000~135999;0
306;*;37;49~56;5.085501859;1.048327138;790;269;*;14000~135999;0
307;*;37;49~56;4.953068592;0.987364621;1479;554;*;14000~135999;0
308;*;37;49~56;4.810502283;1.075342466;1173;438;*;14000~135999;0
309;*;37;49~56;4.775956284;0.989071038;1029;366;*;14000~135999;0
310;*;37;49~56;5.782857143;1.117142857;1030;350;*;14000~135999;0
311;*;37;41~48;4;0.928315412;826;279;*;14000~135999;0
312;*;37;41~48;4.484581498;1.123348018;1412;454;*;14000~135999;0
313;*;37;41~48;5.306590258;1.126074499;1132;349;*;14000~135999;0
314;*;37;41~48;5.79245283;1.301886792;522;159;*;14000~135999;0
315;*;37;41~48;4.198312236;1.004219409;630;237;*;14000~135999;0
316;*;37;33~40;4.556390977;0.992481203;531;133;*;14000~135999;0
317;*;37;33~40;4.017991004;1.103448276;1925;667;*;14000~135999;0
318;*;37;33~40;4.253561254;1.054131054;1144;351;*;14000~135999;0
319;*;37;17~24;4.244230769;1.086538462;1481;520;*;14000~135999;0
320;*;37;25~32;5.283950617;1.166666667;435;162;*;14000~135999;0
321;*;37;25~32;4.267326733;0.98019802;984;303;*;14000~135999;0
322;*;37;33~40;5.327044025;1.333333333;567;159;*;14000~135999;0
323;*;37;41~48;4.398373984;1.25203252;380;123;*;14000~135999;0
324;*;37;41~48;4.368852459;1.036885246;825;244;*;14000~135999;0
325;*;37;41~48;4.561290323;0.948387097;417;155;*;14000~135999;0
326;*;37;41~48;5.324041812;1.013937282;801;287;*;14000~135999;0
327;*;37;41~48;4.590909091;1.085858586;646;198;*;14000~135999;0
328;*;37;41~48;4.880701754;1.028070175;855;285;*;14000~135999;0
329;*;37;41~48;4.029411765;875;435;136;*;14000~135999;0
330;*;37;41~48;5.223076923;1.120512821;2736;780;*;14000~135999;0
331;*;37;41~48;3.896135266;1.074879227;1481;414;*;14000~135999;0
332;*;37;41~48;3.379562044;0.97810219;327;137;*;14000~135999;0
333;*;37;41~48;4.569832402;1.078212291;494;179;*;14000~135999;0
334;*;37;41~48;4.319648094;1.08797654;1231;341;*;14000~135999;0
335;*;37;33~40;4.623853211;1.155963303;323;109;*;14000~135999;0
336;*;37;41~48;4.56;1.004444444;749;225;*;14000~135999;0
337;*;37;41~48;4.320224719;1.028089888;693;178;*;14000~135999;0
338;*;37;41~48;5.940677966;1.104519774;1339;354;*;14000~135999;0
339;*;37;41~48;4125;0.95;282;80;*;14000~135999;0
340;*;37;41~48;4.825641026;1.117948718;621;195;*;14000~135999;0
341;*;37;33~40;3.83011583;1.67953668;732;259;*;14000~135999;0
342;*;37;41~48;3.807692308;1.003846154;901;260;*;14000~135999;0
343;*;37;33~40;7.506666667;1.753333333;482;150;*;14000~135999;0
344;*;37;41~48;4.863849765;1.093896714;652;213;*;14000~135999;0
345;*;37;33~40;6.307228916;1.289156627;651;166;*;14000~135999;0
346;*;37;33~40;4.475524476;1.073426573;999;286;*;14000~135999;0
347;*;37;41~48;5.18627451;1.045751634;907;306;*;14000~135999;0
348;*;37;41~48;5.465217391;1.17826087;828;230;*;14000~135999;0
349;*;37;41~48;4.795275591;0.976377953;763;254;*;14000~135999;0
350;*;37;41~48;5.017191977;1.11747851;935;349;*;14000~135999;0
351;*;37;41~48;4.75;1.061983471;1437;484;*;14000~135999;0
352;*;37;33~40;5.097510373;1.294605809;1516;482;*;14000~135999;0
353;*;37;41~48;5.394594595;1.140540541;597;185;*;14000~135999;0
354;*;37;33~40;4.926900585;1.002923977;949;342;*;14000~135999;0
355;*;37;41~48;6.049668874;1.016556291;881;302;*;136000~196999;0
356;*;37;33~40;5.358381503;1.105973025;1438;519;*;136000~196999;0
357;*;37;33~40;6.751851852;1.059259259;763;270;*;136000~196999;0
358;-122;37;25~32;6.278873239;1.028169014;1297;355;*;258000~379999;0
359;*;37;33~40;7.170616114;1.09478673;545;211;*;197000~257999;0
360;-122;37;25~32;6.127579737;0.92120075;1222;533;*;258000~379999;0
361;*;37;33~40;8.260273973;1.191780822;808;219;*;197000~257999;0
362;-122;37;25~32;7.28440367;1.018348624;329;109;*;258000~379999;0
363;*;37;33~40;6.330275229;0.963302752;299;109;*;136000~196999;0
364;*;37;33~40;6.603960396;0.99009901;579;202;*;197000~257999;0
365;-122;37;25~32;8.28;1.08;137;50;*;258000~379999;0
366;*;37;33~40;8.258064516;1;229;93;*;319000~379999;0
367;*;37;41~48;6.790123457;1.027777778;1476;648;*;197000~257999;0
368;*;37;41~48;6.194805195;1.045454545;429;154;*;136000~196999;0
369;*;37;33~40;5.666666667;1.003921569;849;255;*;14000~135999;0
370;*;37;41~48;5.854984894;1.205438066;946;331;*;14000~135999;0
371;*;37;41~48;4.481675393;0.931937173;571;191;*;14000~135999;0
372;*;37;17~24;4.637305699;1.176165803;1137;386;*;14000~135999;0
373;*;37;41~48;4.57037037;0.97037037;378;135;*;14000~135999;0
374;*;37;41~48;5.084558824;1.011029412;853;272;*;14000~135999;0
375;*;37;49~56;4.69858156;0.982269504;764;282;*;14000~135999;0
376;*;37;33~40;4.701149425;1.126436782;928;261;*;14000~135999;0
377;*;37;33~40;5.015037594;1.052631579;406;133;*;14000~135999;0
378;*;37;33~40;4.367857143;1.003571429;824;280;*;14000~135999;0
379;*;37;33~40;5.324324324;1.108108108;835;259;*;14000~135999;0
380;*;37;41~48;5.2;1.016949153;826;295;*;14000~135999;0
